state,parliament,dun
Perlis,P.001 Padang Besar,N.01 Titi Tinggi
Perlis,P.001 Padang Besar,N.02 Beseri
Perlis,P.001 Padang Besar,N.03 Chuping
Perlis,P.001 Padang Besar,N.04 Mata Ayer
Perlis,P.001 Padang Besar,N.05 Santan
Perlis,P.002 Kangar,N.06 Bintong
Perlis,P.002 Kangar,N.07 Sena
Perlis,P.002 Kangar,N.08 Indera Kayangan
Perlis,P.002 Kangar,N.09 Kuala Perlis
Perlis,P.002 Kangar,N.10 Kayang
Perlis,P.003 Arau,N.11 Pauh
Perlis,P.003 Arau,N.12 Tambun Tulang
Perlis,P.003 Arau,N.13 Guar Sanji
Perlis,P.003 Arau,N.14 Simpang Empat
Perlis,P.003 Arau,N.15 Sanglang
Kedah,P.004 Langkawi,N.01 Ayer Hangat
Kedah,P.004 Langkawi,N.02 Kuah
Kedah,P.005 Jerlun,N.03 Kota Siputeh
Kedah,P.005 Jerlun,N.04 Ayer Hitam
Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam
Kedah,P.006 Kubang Pasu,N.06 Jitra
Kedah,P.007 Padang Terap,N.07 Kuala Nerang
Kedah,P.007 Padang Terap,N.08 Pedu
Kedah,P.008 Pokok Sena,N.09 Bukit Lada
Kedah,P.008 Pokok Sena,N.10 Bukit Pinang
Kedah,P.008 Pokok Sena,N.11 Derga
Kedah,P.009 Alor Setar,N.12 Suka Menanti
Kedah,P.009 Alor Setar,N.13 Kota Darul Aman
Kedah,P.009 Alor Setar,N.14 Alor Mengkudu
Kedah,P.010 Kuala Kedah,N.15 Anak Bukit
Kedah,P.010 Kuala Kedah,N.16 Kubang Rotan
Kedah,P.010 Kuala Kedah,N.17 Pengkalan Kundor
Kedah,P.011 Pendang,N.18 Tokai
Kedah,P.011 Pendang,N.19 Sungai Tiang
Kedah,P.012 Jerai,N.20 Sungai Limau
Kedah,P.012 Jerai,N.21 Guar Chempedak
Kedah,P.012 Jerai,N.22 Gurun
Kedah,P.013 Sik,N.23 Belantek
Kedah,P.013 Sik,N.24 Jeneri
