state,district,mukim
Johor,Batu Pahat,Mukim Bagan
Johor,Batu Pahat,Mukim Chaah Bahru
Johor,Batu Pahat,Mukim Kampung Bahru
Johor,Batu Pahat,Mukim Linau
Johor,Batu Pahat,Mukim Lubok
Johor,Batu Pahat,Mukim Minyak Beku
Johor,Batu Pahat,Mukim Peserai
Johor,Batu Pahat,Mukim Simpang Kanan
Johor,Batu Pahat,Mukim Simpang Kiri
Johor,Batu Pahat,Mukim Sri Gading
Johor,Batu Pahat,Mukim Sri Medan
Johor,Batu Pahat,Mukim Sungai Kluang
Johor,Batu Pahat,Mukim Sungai Punggor
Johor,Batu Pahat,Mukim Tanjung Sembrong
Johor,Johor Bahru,Bandar Johor Bahru
Johor,Johor Bahru,Mukim Jelutong
Johor,Johor Bahru,Mukim Plentong
Johor,Johor Bahru,Mukim Pulai
Johor,Johor Bahru,Mukim Sungai Tiram
Johor,Johor Bahru,Mukim Tanjung Kupang
Johor,Johor Bahru,Mukim Tebrau
Johor,Kluang,Mukim Kahang
Johor,Kluang,Mukim Kluang
Johor,Kluang,Mukim Layang-Layang
Johor,Kluang,Mukim Machap
Johor,Kluang,Mukim Niyor
Johor,Kluang,Mukim Paloh
Johor,Kluang,Mukim Rengam
Johor,Kluang,Mukim Ulu Benut
Johor,Kota Tinggi,Mukim Johor Lama
Johor,Kota Tinggi,Mukim Kambau
Johor,Kota Tinggi,Mukim Kota Tinggi
Johor,Kota Tinggi,Mukim Pantai Timur
Johor,Kota Tinggi,Mukim Pengerang
Johor,Kota Tinggi,Mukim Sedili Besar
Johor,Kota Tinggi,Mukim Sedili Kechil
Johor,Kota Tinggi,Mukim Tanjung Surat
Johor,Kota Tinggi,Mukim Ulu Sungai Johor
Johor,Kota Tinggi,Mukim Ulu Sungei Sedili Besar
Johor,Kulai,Mukim Bukit Batu
Johor,Kulai,Mukim Kulai
Johor,Kulai,Mukim Sedenak
Johor,Kulai,Mukim Senai
Johor,Mersing,Mukim Jemaluang
Johor,Mersing,Mukim Lenggor
Johor,Mersing,Mukim Mersing
Johor,Mersing,Mukim Padang Endau
Johor,Mersing,Mukim Penyabong
Johor,Mersing,Mukim Pulau Aur
Johor,Mersing,Mukim Pulau Babi
Johor,Mersing,Mukim Pulau Pemanggil
Johor,Mersing,Mukim Pulau Sibu
Johor,Mersing,Mukim Pulau Tinggi
Johor,Mersing,Mukim Sembrong
Johor,Mersing,Mukim Tenggaroh
Johor,Mersing,Mukim Tenglu
Johor,Mersing,Mukim Triang
Johor,Muar,Mukim Ayer Hitam
Johor,Muar,Mukim Bandar
Johor,Muar,Mukim Bukit Kepong
Johor,Muar,Mukim Jalan Bakri
Johor,Muar,Mukim Jorak
Johor,Muar,Mukim Lenga
Johor,Muar,Mukim Parit Bakar
Johor,Muar,Mukim Parit Jawa
Johor,Muar,Mukim Sri Menanti
Johor,Muar,Mukim Sungai Balang
Johor,Muar,Mukim Sungai Raya
Johor,Muar,Mukim Sungai Terap
Johor,Pontian,Mukim Air Masin
Johor,Pontian,Mukim Api-Api
Johor,Pontian,Mukim Ayer Baloi
Johor,Pontian,Mukim Benut
Johor,Pontian,Mukim Jeram Batu
Johor,Pontian,Mukim Pengkalan Raja
Johor,Pontian,Mukim Pontian
Johor,Pontian,Mukim Rimba Terjun
Johor,Pontian,Mukim Serkat
Johor,Pontian,Mukim Sungai Karang
Johor,Pontian,Mukim Sungei Pinggan
Johor,Segamat,Mukim Bekok
Johor,Segamat,Mukim Buloh Kasap
Johor,Segamat,Mukim Chaah
Johor,Segamat,Mukim Gemas
Johor,Segamat,Mukim Gemereh
