area_type,area,total_population,total_households,age_0_4_male,age_5_9_male,age_10_14_male,age_15_19_male,age_20_24_male,age_25_29_male,age_30_34_male,age_35_39_male,age_40_44_male,age_45_49_male,age_50_54_male,age_55_59_male,age_60_64_male,age_65_69_male,age_70_74_male,age_75_79_male,age_80_84_male,age_85_above_male,age_0_4_female,age_5_9_female,age_10_14_female,age_15_19_female,age_20_24_female,age_25_29_female,age_30_34_female,age_35_39_female,age_40_44_female,age_45_49_female,age_50_54_female,age_55_59_female,age_60_64_female,age_65_69_female,age_70_74_female,age_75_79_female,age_80_84_female,age_85_above_female,sex_male,sex_female,ethnicity_bumi,ethnicity_chinese,ethnicity_indian,ethnicity_other,religion_muslim,religion_christian,religion_buddhist,religion_hindu,religion_atheist,religion_other,dev_urban,dev_rural,marital_never_married,marital_married,marital_widowed,marital_divorced,agegroup_child,agegroup_working,agegroup_elderly
state,Johor,10000,3000,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,75,80,85,90,95,100,105,90,85,80,75,70,65,60,55,50,45,40,50.36900369,49.63099631,60,20,10,10,60,20,10,5,3,2,30,70,20,70,6,4,25,60,15
state,Kedah,10000,3000,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,75,80,85,90,95,100,105,90,85,80,75,70,65,60,55,50,45,40,50.36900369,49.63099631,60,20,10,10,60,20,10,5,3,2,30,70,20,70,6,4,25,60,15
state,Kelantan,10000,3000,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,75,80,85,90,95,100,105,90,85,80,75,70,65,60,55,50,45,40,50.36900369,49.63099631,60,20,10,10,60,20,10,5,3,2,30,70,20,70,6,4,25,60,15
state,Melaka,10000,3000,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,75,80,85,90,95,100,105,90,85,80,75,70,65,60,55,50,45,40,50.36900369,49.63099631,60,20,10,10,60,20,10,5,3,2,30,70,20,70,6,4,25,60,15
state,Negeri Sembilan,10000,3000,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,75,80,85,90,95,100,105,90,85,80,75,70,65,60,55,50,45,40,50.36900369,49.63099631,60,20,10,10,60,20,10,5,3,2,30,70,20,70,6,4,25,60,15
state,Pahang,10000,3000,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,75,80,85,90,95,100,105,90,85,80,75,70,65,60,55,50,45,40,50.36900369,49.63099631,60,20,10,10,60,20,10,5,3,2,30,70,20,70,6,4,25,60,15
state,Pulau Pinang,10000,3000,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,75,80,85,90,95,100,105,90,85,80,75,70,65,60,55,50,45,40,50.36900369,49.63099631,60,20,10,10,60,20,10,5,3,2,30,70,20,70,6,4,25,60,15
state,Perak,10000,3000,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,75,80,85,90,95,100,105,90,85,80,75,70,65,60,55,50,45,40,50.36900369,49.63099631,60,20,10,10,60,20,10,5,3,2,30,70,20,70,6,4,25,60,15
state,Perlis,10000,3000,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,75,80,85,90,95,100,105,90,85,80,75,70,65,60,55,50,45,40,50.36900369,49.63099631,60,20,10,10,60,20,10,5,3,2,30,70,20,70,6,4,25,60,15
state,Selangor,10000,3000,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,75,80,85,90,95,100,105,90,85,80,75,70,65,60,55,50,45,40,50.36900369,49.63099631,60,20,10,10,60,20,10,5,3,2,30,70,20,70,6,4,25,60,15
